Employment,Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,OpSys,Age,Gender,Sexuality,Ethnicity,ConvertedCompYearly
"Employed full-time",India,"Some college/university study without earning a degree",14,10,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator","20 to 99 employees","INR	Indian rupee",740000,Monthly,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,C#;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,"Microsoft SQL Server;MongoDB;MySQL","Microsoft SQL Server;MongoDB","Microsoft Azure","Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual","South Asian",123984
"Not employed, but looking for work","United States of America","Other doctoral degree (Ph.D., Ed.D., etc.)",20,NA,NA,NA,NA,NA,NA,Python,C++;Python,NA,NA,AWS,NA,MacOS,"45-54 years old",Man,"Straight / Heterosexual","Southeast Asian",NA
"Student, part-time","Iran, Islamic Republic of...","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",7,NA,NA,NA,NA,NA,NA,Bash/Shell;C;C#;C++;Go;Java;PowerShell;SQL,Bash/Shell;C#;Go;Rust,MySQL,MySQL,DigitalOcean,DigitalOcean,Windows,"18-24 years old",Man,"Straight / Heterosexual","Middle Eastern",NA
"Employed full-time",Greece,"Some college/university study without earning a degree",13,10,"Developer, full-stack;Developer, back-end","20 to 99 employees","EUR European Euro",24000,Yearly,HTML/CSS;JavaScript;PHP;R;SQL,HTML/CSS;JavaScript;Node.js;PHP;R;SQL,MariaDB;MySQL,Elasticsearch;MariaDB;MongoDB;MySQL,Heroku,AWS,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",25944
"Independent contractor, freelancer, or self-employed",India,"Some college/university study without earning a degree",4,"Less than 1 year","Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Student","20 to 99 employees","INR	Indian rupee",15000,Monthly,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PowerShell;Python;SQL;TypeScript,Bash/Shell;Elixir;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;Python;TypeScript,Firebase;MongoDB,Firebase;MongoDB;PostgreSQL;Redis,Heroku,"AWS;DigitalOcean;Heroku;Microsoft Azure",Windows,"18-24 years old",Man,NA,"Southeast Asian;Or, in your own words:",2508
"Employed full-time",Netherlands,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",13,4,"Developer, full-stack;Data or business analyst","2 to 9 employees","EUR European Euro",43000,Yearly,JavaScript;Python;TypeScript,JavaScript;Python;TypeScript,Elasticsearch;MongoDB;PostgreSQL,Elasticsearch;MongoDB;PostgreSQL,"Microsoft Azure","Microsoft Azure",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",46482
"Not employed, but looking for work",India,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",NA,NA,"Developer, back-end",NA,NA,NA,NA,Python,Python;Rust,SQLite,PostgreSQL;SQLite,NA,NA,MacOS,"25-34 years old",NA,NA,NA,NA
"Employed full-time",Pakistan,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",9,5,"Developer, front-end;Developer, full-stack;Developer, back-end","10 to 19 employees","PKR	Pakistani rupee",100000,Monthly,C++;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL,Node.js;PHP,MySQL,MySQL,AWS,NA,Windows,"25-34 years old",Man,"Prefer not to say","South Asian",7788
"Not employed, and not looking for work",India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,NA,NA,NA,NA,NA,NA,HTML/CSS;Python,HTML/CSS;Java;Python;Swift,NA,NA,NA,NA,Linux-based,"Under 18 years old",Man,NA,"Or, in your own words:",NA
"Student, full-time",Austria,"Something else",11,NA,NA,NA,NA,NA,NA,Bash/Shell;C#;Dart;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,Bash/Shell;C#;Dart;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript,MongoDB;MySQL;SQLite,MongoDB;MySQL;SQLite,DigitalOcean,DigitalOcean,Windows,"18-24 years old",Man,"Prefer not to say","White or of European descent",NA
"Employed full-time",Austria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9,8,"Developer, desktop or enterprise applications;Developer, full-stack","10 to 19 employees","EUR European Euro",NA,NA,C;C++;PowerShell;Python,C;C++;Erlang;Go;Rust;TypeScript,PostgreSQL,PostgreSQL;SQLite,NA,NA,Windows,"25-34 years old","Prefer not to say",NA,NA,NA
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",7,3,"Developer, front-end;Developer, full-stack","10 to 19 employees","INR	Indian rupee",NA,NA,C#;HTML/CSS;JavaScript;Python;TypeScript,C#;Go;HTML/CSS;JavaScript;Python;TypeScript,"Firebase;Microsoft SQL Server;MongoDB;MySQL;Oracle;Redis;SQLite","Couchbase;DynamoDB;Microsoft SQL Server;MongoDB;PostgreSQL","AWS;Heroku;Microsoft Azure","DigitalOcean;Google Cloud Platform;Heroku",Windows,"18-24 years old",Man,NA,NA,NA
"Independent contractor, freelancer, or self-employed","United States of America","Some college/university study without earning a degree",8,5,"Developer, full-stack;Designer","Just me - I am a freelancer, sole proprietor, etc.","USD	United States dollar",6000,Monthly,C#;HTML/CSS;JavaScript;Node.js;PHP;TypeScript,C#;HTML/CSS;JavaScript;PHP;TypeScript,MySQL,MySQL,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",72000
"Student, full-time",Turkey,"Other doctoral degree (Ph.D., Ed.D., etc.)",NA,NA,NA,NA,NA,NA,NA,C++;HTML/CSS;Java;PHP;Python,Swift,"Microsoft SQL Server;MySQL;Oracle;SQLite",Cassandra,DigitalOcean,"AWS;Google Cloud Platform",Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Independent contractor, freelancer, or self-employed",Switzerland,"Professional degree (JD, MD, etc.)",34,25,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","20 to 99 employees","CHF	Swiss franc",150000,Yearly,Bash/Shell;C#;HTML/CSS;Java;PHP;SQL,Bash/Shell;C#;HTML/CSS;Java;PHP;SQL,MySQL;Oracle;PostgreSQL,MySQL;Oracle;PostgreSQL,"Oracle Cloud Infrastructure","Oracle Cloud Infrastructure",Windows,"45-54 years old",Man,"Straight / Heterosexual","White or of European descent",152473
"Employed full-time",Ukraine,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",23,16,"Developer, back-end;Developer, QA or test;Engineering manager",NA,NA,NA,NA,Bash/Shell;C;Go;Perl;Python;Rust,NA,Elasticsearch;MariaDB;MySQL;Redis,Elasticsearch;MariaDB;MySQL;Redis,"AWS;Google Cloud Platform;Microsoft Azure","AWS;Google Cloud Platform;Microsoft Azure;Oracle Cloud Infrastructure",Linux-based,"35-44 years old",Man,"Straight / Heterosexual;Bisexual","White or of European descent",NA
"Employed full-time",Italy,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",3,3,"Data scientist or machine learning specialist;Data or business analyst","1,000 to 4,999 employees","EUR European Euro",33000,Yearly,Python;R,Python,NA,NA,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",35672
"Employed full-time",Belarus,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",7,4,"Developer, back-end;Developer, game or graphics","1,000 to 4,999 employees","USD	United States dollar",NA,Monthly,C#;TypeScript,C#;TypeScript,Firebase;MongoDB,Firebase,"Google Cloud Platform","Google Cloud Platform",Windows,"18-24 years old",Man,"Straight / Heterosexual","Or, in your own words:",NA
"Independent contractor, freelancer, or self-employed",Sweden,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",12,6,"Developer, front-end;Developer, full-stack;Developer, back-end;Designer","1,000 to 4,999 employees","SEK	Swedish krona",70000,Monthly,C#;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,HTML/CSS;JavaScript;Node.js;SQL;TypeScript,"DynamoDB;Microsoft SQL Server;MySQL",DynamoDB;PostgreSQL,"AWS;Microsoft Azure",AWS,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",85908
"Student, full-time",Netherlands,"Associate degree (A.A., A.S., etc.)",10,NA,NA,NA,NA,NA,NA,C;C#;C++;Go;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;Python;SQL;TypeScript,HTML/CSS;JavaScript;Node.js;PHP;PowerShell;SQL;TypeScript,"MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite","Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite","Heroku;Microsoft Azure","Heroku;Microsoft Azure",Windows,"25-34 years old",Woman,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Romania,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",9,5,"Engineer, data;Data scientist or machine learning specialist;Developer, back-end;Product manager","2 to 9 employees","RON	Romanian leu",10000,Monthly,Java;JavaScript;Python,Python,"Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite",MongoDB;PostgreSQL;Redis;SQLite,"Google Cloud Platform;Microsoft Azure","Microsoft Azure",MacOS,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",27144
"Employed full-time",Netherlands,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",28,23,"Developer, desktop or enterprise applications;Developer, full-stack;Designer","100 to 499 employees","EUR European Euro",NA,NA,Assembly;Bash/Shell;C;C#;C++;Delphi;Erlang;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Perl;PowerShell;Python;R;SQL;TypeScript;VBA,C#;Go;HTML/CSS;Kotlin;Node.js;PowerShell;Python;R;Rust;SQL;TypeScript,"MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Cassandra;Couchbase;DynamoDB;Elasticsearch;MariaDB;Microsoft SQL Server;PostgreSQL",NA,NA,Windows,"25-34 years old","Non-binary, genderqueer, or gender non-conforming",NA,"White or of European descent",NA
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,"Developer, mobile;Developer, desktop or enterprise applications;Developer, full-stack","I donâ€™t know","USD	United States dollar",140000,Yearly,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Microsoft SQL Server","Microsoft SQL Server","Microsoft Azure","Microsoft Azure",Windows,"55-64 years old","Man;Or, in your own words:","Prefer to self-describe:","Prefer not to say",140000
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,"Less than 1 year","Developer, full-stack","100 to 499 employees","INR	Indian rupee",50000,Monthly,C++;HTML/CSS;JavaScript;Node.js,Java;Kotlin;Swift,MySQL;SQLite,NA,"AWS;Heroku;Microsoft Azure",NA,Windows,"18-24 years old",Man,NA,"South Asian",8376
"Employed full-time",Germany,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",11,7,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end","10 to 19 employees","EUR European Euro",80000,Yearly,HTML/CSS;JavaScript;Node.js;SQL;TypeScript,HTML/CSS;JavaScript;Node.js,DynamoDB;Elasticsearch;MongoDB;PostgreSQL;Redis,MongoDB;Redis,"AWS;Microsoft Azure",AWS,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent;Multiracial;Middle Eastern;Biracial;Black or of African descent",86478
"Employed full-time",Spain,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",13,9,"Developer, full-stack;Developer, back-end;Academic researcher;DevOps specialist;System administrator","100 to 499 employees","EUR European Euro",NA,NA,Bash/Shell;C++;HTML/CSS;Java;JavaScript;Python,Bash/Shell;C++;Go;Python;Rust,MySQL;PostgreSQL,MongoDB;PostgreSQL,NA,NA,Linux-based,"35-44 years old","Or, in your own words:","Prefer to self-describe:","Or, in your own words:",NA
"Independent contractor, freelancer, or self-employed",Poland,"Some college/university study without earning a degree",13,8,"Developer, mobile;Developer, front-end;Developer, full-stack;Scientist;DevOps specialist","100 to 499 employees","PLN	Polish zloty",15000,Monthly,Bash/Shell;HTML/CSS;Node.js;PHP;Python;TypeScript,Bash/Shell;Dart;HTML/CSS;Node.js;Python;TypeScript,Firebase;PostgreSQL,Elasticsearch;PostgreSQL;Redis,"AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure",DigitalOcean,Linux-based,"25-34 years old",Man,"Prefer to self-describe:","White or of European descent",45564
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",16,7,"Data scientist or machine learning specialist;Academic researcher","100 to 499 employees","INR	Indian rupee",800000,Monthly,Python,C++;Matlab;Python,NA,NA,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","Southeast Asian",134028
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",40,25,"Developer, embedded applications or devices","20 to 99 employees","USD	United States dollar",98000,Yearly,C;C#;Matlab;Python,C;C#;C++;Go;Matlab;Python;Rust,PostgreSQL,"Microsoft SQL Server;MySQL;PostgreSQL;SQLite",AWS,"AWS;Google Cloud Platform;Microsoft Azure",Windows,"45-54 years old",Man,NA,"White or of European descent",98000
"Employed part-time",Austria,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",17,10,"Developer, desktop or enterprise applications;Developer, game or graphics;System administrator","20 to 99 employees","EUR European Euro",2830,Monthly,Bash/Shell;C#;C++;PowerShell;Python,Bash/Shell;C#;C++,"Microsoft SQL Server;PostgreSQL;SQLite","Microsoft SQL Server;PostgreSQL;SQLite",NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",36708
"Employed full-time",Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21,18,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;Data or business analyst;System administrator","20 to 99 employees","EUR European Euro",50000,Yearly,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;SQL,MariaDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Oracle;PostgreSQL;Redis,NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",54049
"Student, full-time",India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,NA,NA,NA,NA,NA,NA,Python,Python,NA,NA,NA,NA,Windows,"Under 18 years old",Man,"Straight / Heterosexual","South Asian",NA
"Not employed, and not looking for work",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)","Less than 1 year",NA,NA,NA,NA,NA,NA,Assembly;C;HTML/CSS;JavaScript;Python;SQL,HTML/CSS;JavaScript;Python;SQL,MySQL,MySQL,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","South Asian",NA
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",20,3,"Developer, desktop or enterprise applications;Engineer, data;Developer, back-end;Database administrator;Developer, QA or test;DevOps specialist","10,000 or more employees","USD	United States dollar",73500,Yearly,Bash/Shell;JavaScript;Node.js;Python,Bash/Shell;Go;JavaScript;Node.js;Python,MariaDB;PostgreSQL;Redis,PostgreSQL;Redis,"Microsoft Azure","Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",73500
"Employed full-time",Netherlands,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",27,7,"Developer, desktop or enterprise applications","20 to 99 employees","EUR European Euro",52000,Yearly,C;C++;Java;Python,C;C++;Java;Python,NA,NA,NA,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",56211
"Employed full-time",Bangladesh,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",8,3,"Developer, full-stack","2 to 9 employees","BDT	Bangladeshi taka",NA,NA,HTML/CSS;JavaScript;Python,HTML/CSS;JavaScript;Node.js;Python,MySQL,Firebase;MongoDB;MySQL;PostgreSQL,Heroku,"AWS;DigitalOcean;Google Cloud Platform",Windows,"25-34 years old",Man,"Straight / Heterosexual","South Asian",NA
"Not employed, but looking for work","United States of America","Some college/university study without earning a degree",18,NA,NA,NA,NA,NA,NA,C#;HTML/CSS;JavaScript;SQL,C#;Java;SQL,"Microsoft SQL Server","Microsoft SQL Server;SQLite",NA,NA,Windows,"35-44 years old",Man,NA,"White or of European descent",NA
"Not employed, but looking for work",Luxembourg,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",12,NA,"Engineer, data;Data scientist or machine learning specialist;Developer, back-end;Academic researcher;Scientist;Student;Developer, embedded applications or devices",NA,NA,NA,NA,Bash/Shell;C;JavaScript;Python;SQL;VBA,C;Go;Julia;LISP;Perl;Python;SQL,NA,NA,AWS,AWS,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent;Multiracial;East Asian;Biracial",NA
"Employed full-time",Poland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",13,6,"Developer, front-end;Developer, full-stack;Other (please specify):;Developer, back-end;Academic researcher;Educator","20 to 99 employees","PLN	Polish zloty",20000,Monthly,Bash/Shell;HTML/CSS;JavaScript;Node.js;Python;Rust;TypeScript,JavaScript;Node.js;Rust;TypeScript,Elasticsearch;MongoDB;PostgreSQL;Redis,MongoDB;PostgreSQL,"AWS;DigitalOcean;Microsoft Azure",DigitalOcean,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",60744
"Student, full-time",India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,NA,NA,NA,NA,NA,NA,Bash/Shell;Java;JavaScript;Node.js;PowerShell;Python;TypeScript;VBA,Bash/Shell;C++;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript,MongoDB,Firebase;MongoDB;PostgreSQL;SQLite,Heroku,"AWS;Google Cloud Platform;Heroku",Windows,"18-24 years old",Man,"Prefer not to say","I don't know;Southeast Asian;South Asian",NA
"Independent contractor, freelancer, or self-employed",Bolivia,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",8,3,"Developer, mobile;Developer, back-end;Student","2 to 9 employees","BOB	Bolivian boliviano",3000,Monthly,JavaScript;Node.js;PHP;SQL;TypeScript,C#;Go;Python,DynamoDB;Firebase;MongoDB;PostgreSQL,Redis,"DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure",AWS,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",5208
"Employed full-time",France,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",36,25,"Developer, back-end","10,000 or more employees","EUR European Euro",170000,Yearly,Bash/Shell;C;Go;Java,Bash/Shell;C;Go;Java;Rust,NA,NA,AWS,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",183767
"Student, full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","Southeast Asian;South Asian",NA
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",11,2,"Developer, mobile;Developer, desktop or enterprise applications;Developer, back-end","100 to 499 employees","INR	Indian rupee",150000,Monthly,Bash/Shell;C;C++;JavaScript;Node.js;PHP;Python;SQL;TypeScript,Clojure;Dart;Go;Haskell,Firebase;MariaDB;MySQL;PostgreSQL;Redis;SQLite,NA,AWS;DigitalOcean,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","Southeast Asian;South Asian",25128
